PLAYER,TEAM,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,ASTPTSCreated,AST_ADJ
Anderson Varejao,CLE,25,17,8,232,369,255,17,2,37,39,18
Iman Shumpert,CLE,18,14,4,447,345,362,27,6,56,68,34
JR Smith,CLE,35,24,11,1035,799,989,55,15,105,133,72
James Jones,CLE,32,21,11,317,399,326,12,1,24,32,14
Jared Cunningham,CLE,31,23,8,338,346,394,19,6,41,44,25
Joe Harris,CLE,5,5,0,15,15,13,2,2,1,3,3
Kevin Love,CLE,39,28,11,1255,1754,1451,93,16,173,230,117
Kyrie Irving,CLE,14,11,3,371,634,740,53,12,100,140,73
LeBron James,CLE,38,28,10,1358,1811,2332,233,29,508,618,287
Matthew Dellavedova,CLE,38,28,10,1039,1906,1978,183,33,357,462,237
Mo Williams,CLE,26,16,10,588,1029,1151,88,17,173,212,113
Richard Jefferson,CLE,37,28,9,732,518,597,32,9,77,86,47
Sasha Kaun,CLE,9,7,2,38,39,36,2,0,7,8,4
Timofey Mozgov,CLE,36,26,10,645,660,494,14,2,49,42,20
Tristan Thompson,CLE,39,28,11,1053,1113,619,27,4,66,87,40
Andre Iguodala,GSW,42,39,3,1161,1471,1383,145,29,275,379,187
Andrew Bogut,GSW,36,33,3,756,1089,701,71,11,141,194,90
Brandon Rush,GSW,33,30,3,550,513,514,28,8,51,77,41
Draymond Green,GSW,41,39,2,1419,2601,2052,298,24,526,758,349
Festus Ezeli,GSW,37,35,2,653,704,528,28,2,56,80,34
Harrison Barnes,GSW,26,25,1,757,756,747,48,9,83,129,63
Ian Clark,GSW,36,34,2,370,552,651,39,6,70,99,47
James Michael McAdoo,GSW,24,22,2,141,241,166,8,2,18,19,10
Jason Thompson,TOR,20,17,3,137,233,166,16,2,24,36,18
Klay Thompson,GSW,40,37,3,1326,992,1563,100,25,182,246,135
Leandro Barbosa,GSW,29,27,2,415,464,591,43,12,78,111,61
Marreese Speights,GSW,34,31,3,356,473,504,21,1,47,51,23
Shaun Livingston,GSW,39,36,3,782,1298,1336,118,12,214,290,143
Stephen Curry,GSW,40,38,2,1361,2273,2758,266,33,504,625,311
